GlobalID,Score,x,y,r,x_min,y_min,x_max,y_max,x_shape,y_shape,frameID,time,condition,outlier,cell_count_v3_Target,cell_count_v3_Effector,cell_count_v3_dead_Target,cell_count_v3_dead_Effector
1680,0.920212765957442,9926,2917,65,9861,2852,9991,2982,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1681,0.999999999999994,5786,2918,65,5721,2853,5851,2983,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1682,0.999999999999994,7360,2920,65,7295,2855,7425,2985,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1683,0.999999999999994,2970,2921,65,2905,2856,3035,2986,130,130,0,1,HFE7500_THP1_300_170,False,3,0,0,0
1684,0.999999999999994,3709,2922,65,3644,2857,3774,2987,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1685,0.999999999999994,5628,2922,65,5563,2857,5693,2987,130,130,0,1,HFE7500_THP1_300_170,False,0,0,0,0
1686,0.999999999999994,9787,2922,65,9722,2857,9852,2987,130,130,0,1,HFE7500_THP1_300_170,False,0,0,1,0
1687,0.999999999999994,6077,2924,65,6012,2859,6142,2989,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1688,0.999999999999994,10952,2924,65,10887,2859,11017,2989,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1689,0.999999999999994,7531,2925,65,7466,2860,7596,2990,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1690,0.999999999999994,3997,2926,65,3932,2861,4062,2991,130,130,0,1,HFE7500_THP1_300_170,False,2,0,0,0
1691,0.999999999999994,4278,2927,65,4213,2862,4343,2992,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1692,0.999999999999994,7682,2927,65,7617,2862,7747,2992,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1693,0.999999999999994,10811,2927,65,10746,2862,10876,2992,130,130,0,1,HFE7500_THP1_300_170,False,2,0,1,0
1694,0.999999999999994,10072,2930,65,10007,2865,10137,2995,130,130,0,1,HFE7500_THP1_300_170,False,3,1,3,0
1695,0.999999999999994,10361,2930,65,10296,2865,10426,2995,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1696,0.999999999999994,10213,2931,65,10148,2866,10278,2996,130,130,0,1,HFE7500_THP1_300_170,False,2,0,0,0
1697,0.999999999999994,3849,2932,65,3784,2867,3914,2997,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1698,0.999999999999994,10531,2932,65,10466,2867,10596,2997,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1699,0.999999999999994,11092,2932,65,11027,2867,11157,2997,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1700,0.999999999999994,5937,2933,65,5872,2868,6002,2998,130,130,0,1,HFE7500_THP1_300_170,False,0,0,1,0
1701,0.999999999999994,2383,2934,65,2318,2869,2448,2999,130,130,0,1,HFE7500_THP1_300_170,False,0,0,0,0
1702,0.999999999999994,6218,2935,65,6153,2870,6283,3000,130,130,0,1,HFE7500_THP1_300_170,False,0,0,1,0
1703,0.999999999999994,2828,2937,65,2763,2872,2893,3002,130,130,0,1,HFE7500_THP1_300_170,False,0,0,1,0
1704,0.999999999999994,2687,2942,65,2622,2877,2752,3007,130,130,0,1,HFE7500_THP1_300_170,False,2,0,0,0
1705,0.999999999999994,10672,2943,65,10607,2878,10737,3008,130,130,0,1,HFE7500_THP1_300_170,False,3,0,1,0
1706,0.999999999999994,2231,2945,65,2166,2880,2296,3010,130,130,0,1,HFE7500_THP1_300_170,False,2,0,1,0
1707,0.999999999999994,6359,2945,65,6294,2880,6424,3010,130,130,0,1,HFE7500_THP1_300_170,False,0,0,0,0
1708,0.999999999999994,7821,2946,65,7756,2881,7886,3011,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1709,0.999999999999994,6499,2948,65,6434,2883,6564,3013,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1710,0.999999999999994,2074,2949,65,2009,2884,2139,3014,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1711,0.999999999999994,2523,2949,65,2458,2884,2588,3014,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1712,0.999999999999994,7972,2949,65,7907,2884,8037,3014,130,130,0,1,HFE7500_THP1_300_170,False,0,0,0,0
1713,0.999999999999994,620,2952,65,555,2887,685,3017,130,130,0,1,HFE7500_THP1_300_170,False,0,0,0,0
1714,0.999999999999994,479,2953,65,414,2888,544,3018,130,130,0,1,HFE7500_THP1_300_170,False,1,0,0,0
1715,0.999999999999994,8111,2954,65,8046,2889,8176,3019,130,130,0,1,HFE7500_THP1_300_170,False,1,0,1,0
1716,0.999999999999994,8270,2957,65,8205,2892,8335,3022,130,130,0,1,HFE7500_THP1_300_170,False,2,0,0,0
