frameID,condition,viability_eff,viability_ctrl,normalized_pct
0,HFE7500_THP1_300_170,67.85039667548168,55.319148936170215,122.65264014413995
1,HFE7500_THP1_300_170,60.15444015444016,51.61290322580645,116.54922779922781
2,HFE7500_THP1_300_170,60.915909988156336,52.94117647058824,115.06338553318417
3,HFE7500_THP1_300_170,57.16039279869067,51.21951219512195,111.59886213077704
4,HFE7500_THP1_300_170,54.22715627668659,48.78048780487805,111.1656703672075
5,HFE7500_THP1_300_170,50.80357142857144,44.680851063829785,113.70323129251703
6,HFE7500_THP1_300_170,48.280802292263616,40.094339622641506,120.41800101129279
7,HFE7500_THP1_300_170,46.15756404059932,43.25581395348838,106.70834697557905
8,HFE7500_THP1_300_170,45.845997973657546,43.162393162393165,106.21746065184026
9,HFE7500_THP1_300_170,43.10069259456579,46.186440677966104,93.31893075520667
10,HFE7500_THP1_300_170,39.722061378112336,43.24324324324324,91.85726693688478
11,HFE7500_THP1_300_170,20.50304878048781,19.730941704035875,103.91317904656322
12,RAN101_THP1_300_170,80.33489096573209,54.95495495495495,146.18316224911905
13,RAN101_THP1_300_170,69.06043046357617,52.65957446808511,131.14505987022545
14,RAN101_THP1_300_170,66.88741721854305,53.045685279187815,126.09398269907159
15,RAN101_THP1_300_170,59.00412796697627,54.32900432900433,108.60520765236271
16,RAN101_THP1_300_170,52.2972556275054,41.72661870503597,125.33307814178019
17,RAN101_THP1_300_170,44.796035074342356,41.31736526946108,108.41938923790107
18,RAN101_THP1_300_170,35.73287077189939,30.000000000000004,119.10956923966462
19,RAN101_THP1_300_170,28.421052631578945,24.45414847161572,116.2218045112782
20,RAN101_THP1_300_170,20.704029643353405,18.726591760299627,110.55951829550716
21,RAN101_THP1_300_170,15.85594013096352,13.008130081300816,121.89253975678203
22,RAN101_THP1_300_170,12.73915072328512,10.412926391382404,122.33977504947953
23,RAN101_THP1_300_170,8.676975945017185,10.256410256410254,84.60051546391757
