GlobalID,Score,x,y,r,x_min,y_min,x_max,y_max,x_shape,y_shape,frameID,time,condition,outlier,cell_count_v3_Target,cell_count_v3_Effector,cell_count_v3_dead_Target,cell_count_v3_dead_Effector
0,0.999999999999994,4154,73,65,4089,8,4219,138,130,130,0,1,HFE7500_K562_droplets_300mbaroil_150mbar,False,2.0,0.0,1.0,0.0
1,0.999999999999994,3019,77,65,2954,12,3084,142,130,130,0,1,HFE7500_K562_droplets_300mbaroil_150mbar,False,1.0,0.0,0.0,0.0
2,0.999999999999994,5827,77,65,5762,12,5892,142,130,130,0,1,HFE7500_K562_droplets_300mbaroil_150mbar,False,1.0,0.0,0.0,0.0
3,0.999999999999994,340,85,65,275,20,405,150,130,130,0,1,HFE7500_K562_droplets_300mbaroil_150mbar,False,2.0,0.0,0.0,0.0
4,0.999999999999994,4940,88,65,4875,23,5005,153,130,130,0,1,HFE7500_K562_droplets_300mbaroil_150mbar,False,2.0,0.0,0.0,0.0
5,0.999999999999994,3839,95,65,3774,30,3904,160,130,130,0,1,HFE7500_K562_droplets_300mbaroil_150mbar,False,4.0,0.0,1.0,0.0
6,0.999999999999994,5281,104,65,5216,39,5346,169,130,130,0,1,HFE7500_K562_droplets_300mbaroil_150mbar,False,2.0,0.0,0.0,0.0
7,0.999999999999994,1818,105,65,1753,40,1883,170,130,130,0,1,HFE7500_K562_droplets_300mbaroil_150mbar,False,1.0,0.0,0.0,0.0
8,0.999999999999994,5417,105,65,5352,40,5482,170,130,130,0,1,HFE7500_K562_droplets_300mbaroil_150mbar,False,1.0,0.0,0.0,0.0
9,0.999999999999994,1683,112,65,1618,47,1748,177,130,130,0,1,HFE7500_K562_droplets_300mbaroil_150mbar,False,0.0,0.0,0.0,0.0
10,0.999999999999994,5696,113,65,5631,48,5761,178,130,130,0,1,HFE7500_K562_droplets_300mbaroil_150mbar,False,4.0,0.0,0.0,0.0
11,0.999999999999994,5956,115,65,5891,50,6021,180,130,130,0,1,HFE7500_K562_droplets_300mbaroil_150mbar,False,2.0,0.0,0.0,0.0
12,0.999999999999994,6348,115,65,6283,50,6413,180,130,130,0,1,HFE7500_K562_droplets_300mbaroil_150mbar,False,4.0,0.0,0.0,0.0
13,0.999999999999994,5555,117,65,5490,52,5620,182,130,130,0,1,HFE7500_K562_droplets_300mbaroil_150mbar,False,3.0,0.0,0.0,0.0
14,0.999999999999994,475,123,65,410,58,540,188,130,130,0,1,HFE7500_K562_droplets_300mbaroil_150mbar,False,3.0,0.0,0.0,0.0
