GlobalID,Score,x,y,r,x_min,y_min,x_max,y_max,x_shape,y_shape,frameID,time,condition,outlier
51,0.999999999999994,5358,244,65,5293,179,5423,309,130,130,0,1,HFE7500_K562_300_150_region15,False
52,0.999999999999994,2140,245,65,2075,180,2205,310,130,130,0,1,HFE7500_K562_300_150_region15,False
53,0.999999999999994,2405,248,65,2340,183,2470,313,130,130,0,1,HFE7500_K562_300_150_region15,False
54,0.999999999999994,5065,248,65,5000,183,5130,313,130,130,0,1,HFE7500_K562_300_150_region15,False
55,0.999999999999994,3454,249,65,3389,184,3519,314,130,130,0,1,HFE7500_K562_300_150_region15,False
56,0.999999999999994,3587,251,65,3522,186,3652,316,130,130,0,1,HFE7500_K562_300_150_region15,False
57,0.999999999999994,2007,252,65,1942,187,2072,317,130,130,0,1,HFE7500_K562_300_150_region15,False
58,0.999999999999994,3721,252,65,3656,187,3786,317,130,130,0,1,HFE7500_K562_300_150_region15,False
59,0.917553191489357,2533,254,65,2468,189,2598,319,130,130,0,1,HFE7500_K562_300_150_region15,False
60,0.999999999999994,3854,255,65,3789,190,3919,320,130,130,0,1,HFE7500_K562_300_150_region15,False
61,0.999999999999994,4521,255,65,4456,190,4586,320,130,130,0,1,HFE7500_K562_300_150_region15,False
62,0.999999999999994,4655,255,65,4590,190,4720,320,130,130,0,1,HFE7500_K562_300_150_region15,False
63,0.999999999999994,3987,257,65,3922,192,4052,322,130,130,0,1,HFE7500_K562_300_150_region15,False
64,0.999999999999994,4787,257,65,4722,192,4852,322,130,130,0,1,HFE7500_K562_300_150_region15,False
65,0.999999999999994,4919,257,65,4854,192,4984,322,130,130,0,1,HFE7500_K562_300_150_region15,False
66,0.999999999999994,4121,259,65,4056,194,4186,324,130,130,0,1,HFE7500_K562_300_150_region15,False
67,0.999999999999994,4254,259,65,4189,194,4319,324,130,130,0,1,HFE7500_K562_300_150_region15,False
68,0.999999999999994,2660,260,65,2595,195,2725,325,130,130,0,1,HFE7500_K562_300_150_region15,False
69,0.999999999999994,4387,260,65,4322,195,4452,325,130,130,0,1,HFE7500_K562_300_150_region15,False
70,0.999999999999994,5793,266,65,5728,201,5858,331,130,130,0,1,HFE7500_K562_300_150_region15,False
71,0.999999999999994,5931,267,65,5866,202,5996,332,130,130,0,1,HFE7500_K562_300_150_region15,False
72,0.999999999999994,5660,268,65,5595,203,5725,333,130,130,0,1,HFE7500_K562_300_150_region15,False
73,0.999999999999994,6062,269,65,5997,204,6127,334,130,130,0,1,HFE7500_K562_300_150_region15,False
74,0.999999999999994,6193,269,65,6128,204,6258,334,130,130,0,1,HFE7500_K562_300_150_region15,False
75,0.999999999999994,6326,272,65,6261,207,6391,337,130,130,0,1,HFE7500_K562_300_150_region15,False
76,0.999999999999994,6459,275,65,6394,210,6524,340,130,130,0,1,HFE7500_K562_300_150_region15,False
77,0.999999999999994,6726,275,65,6661,210,6791,340,130,130,0,1,HFE7500_K562_300_150_region15,False
78,0.999999999999994,3324,276,65,3259,211,3389,341,130,130,0,1,HFE7500_K562_300_150_region15,False
79,0.999999999999994,3189,277,65,3124,212,3254,342,130,130,0,1,HFE7500_K562_300_150_region15,False
80,0.999999999999994,6593,278,65,6528,213,6658,343,130,130,0,1,HFE7500_K562_300_150_region15,False
81,0.999999999999994,3056,283,65,2991,218,3121,348,130,130,0,1,HFE7500_K562_300_150_region15,False
82,0.999999999999994,6860,283,65,6795,218,6925,348,130,130,0,1,HFE7500_K562_300_150_region15,False
83,0.999999999999994,2924,284,65,2859,219,2989,349,130,130,0,1,HFE7500_K562_300_150_region15,False
84,0.999999999999994,6994,287,65,6929,222,7059,352,130,130,0,1,HFE7500_K562_300_150_region15,False
85,0.999999999999994,7129,288,65,7064,223,7194,353,130,130,0,1,HFE7500_K562_300_150_region15,False
86,0.999999999999994,7268,288,65,7203,223,7333,353,130,130,0,1,HFE7500_K562_300_150_region15,False
87,0.999999999999994,7400,290,65,7335,225,7465,355,130,130,0,1,HFE7500_K562_300_150_region15,False
88,0.999999999999994,1433,296,65,1368,231,1498,361,130,130,0,1,HFE7500_K562_300_150_region15,False
89,0.999999999999994,7530,296,65,7465,231,7595,361,130,130,0,1,HFE7500_K562_300_150_region15,False
90,0.8670212765957407,1557,336,65,1492,271,1622,401,130,130,0,1,HFE7500_K562_300_150_region15,False
91,0.999999999999994,1682,337,65,1617,272,1747,402,130,130,0,1,HFE7500_K562_300_150_region15,False
92,0.999999999999994,1814,337,65,1749,272,1879,402,130,130,0,1,HFE7500_K562_300_150_region15,False
93,0.999999999999994,5560,356,65,5495,291,5625,421,130,130,0,1,HFE7500_K562_300_150_region15,False
94,0.999999999999994,5426,358,65,5361,293,5491,423,130,130,0,1,HFE7500_K562_300_150_region15,False
95,0.999999999999994,2336,361,65,2271,296,2401,426,130,130,0,1,HFE7500_K562_300_150_region15,False
96,0.999999999999994,2205,362,65,2140,297,2270,427,130,130,0,1,HFE7500_K562_300_150_region15,False
97,0.999999999999994,4996,362,65,4931,297,5061,427,130,130,0,1,HFE7500_K562_300_150_region15,False
98,0.999999999999994,5129,364,65,5064,299,5194,429,130,130,0,1,HFE7500_K562_300_150_region15,False
99,0.999999999999994,5293,364,65,5228,299,5358,429,130,130,0,1,HFE7500_K562_300_150_region15,False
100,0.999999999999994,1941,365,65,1876,300,2006,430,130,130,0,1,HFE7500_K562_300_150_region15,False
101,0.999999999999994,2468,365,65,2403,300,2533,430,130,130,0,1,HFE7500_K562_300_150_region15,False
102,0.999999999999994,3519,365,65,3454,300,3584,430,130,130,0,1,HFE7500_K562_300_150_region15,False
103,0.8936170212765914,4854,366,65,4789,301,4919,431,130,130,0,1,HFE7500_K562_300_150_region15,False
104,0.999999999999994,3652,368,65,3587,303,3717,433,130,130,0,1,HFE7500_K562_300_150_region15,False
105,0.999999999999994,2072,370,65,2007,305,2137,435,130,130,0,1,HFE7500_K562_300_150_region15,False
106,0.999999999999994,3786,370,65,3721,305,3851,435,130,130,0,1,HFE7500_K562_300_150_region15,False
107,0.999999999999994,4721,371,65,4656,306,4786,436,130,130,0,1,HFE7500_K562_300_150_region15,False
108,0.999999999999994,4588,372,65,4523,307,4653,437,130,130,0,1,HFE7500_K562_300_150_region15,False
109,0.999999999999994,2731,374,65,2666,309,2796,439,130,130,0,1,HFE7500_K562_300_150_region15,False
110,0.999999999999994,3921,374,65,3856,309,3986,439,130,130,0,1,HFE7500_K562_300_150_region15,False
111,0.999999999999994,4455,374,65,4390,309,4520,439,130,130,0,1,HFE7500_K562_300_150_region15,False
112,0.999999999999994,4187,375,65,4122,310,4252,440,130,130,0,1,HFE7500_K562_300_150_region15,False
113,0.999999999999994,4320,376,65,4255,311,4385,441,130,130,0,1,HFE7500_K562_300_150_region15,False
114,0.999999999999994,5729,380,65,5664,315,5794,445,130,130,0,1,HFE7500_K562_300_150_region15,False
115,0.999999999999994,5860,381,65,5795,316,5925,446,130,130,0,1,HFE7500_K562_300_150_region15,False
116,0.999999999999994,6125,382,65,6060,317,6190,447,130,130,0,1,HFE7500_K562_300_150_region15,False
