frameID,condition,viability_eff,viability_ctrl,normalized_pct
0,HFE7500_K562_300_150_region15,92.2465208747515,92.2465208747515,100.0
1,HFE7500_K562_300_150_region15,90.36144578313254,90.36144578313254,100.0
2,HFE7500_K562_300_150_region15,87.12871287128714,87.12871287128714,100.0
3,HFE7500_K562_300_150_region15,77.94117647058823,77.94117647058823,100.0
4,HFE7500_K562_300_150_region15,83.92857142857143,83.92857142857143,100.0
5,HFE7500_K562_300_150_region15,37.80487804878049,37.80487804878049,100.0
6,HFE7500_K562_300_150_region11,91.56626506024097,91.56626506024097,100.0
7,HFE7500_K562_300_150_region11,95.23809523809523,95.23809523809523,100.0
8,HFE7500_K562_300_150_region11,83.33333333333334,83.33333333333334,100.0
9,HFE7500_K562_300_150_region11,66.66666666666667,66.66666666666667,100.0
10,HFE7500_K562_300_150_region11,30.76923076923077,30.76923076923077,100.0
11,HFE7500_K562_300_150_region11,0.0,0.0,
12,HFE7500_K562_300_150_region6,94.04466501240695,94.04466501240695,100.0
13,HFE7500_K562_300_150_region6,94.21052631578948,94.21052631578948,100.0
14,HFE7500_K562_300_150_region6,92.04545454545455,92.04545454545455,100.0
15,HFE7500_K562_300_150_region6,80.0,80.0,100.0
16,HFE7500_K562_300_150_region6,73.33333333333334,73.33333333333334,100.0
17,HFE7500_K562_300_150_region6,0.0,0.0,
